column,train_mean,test_mean,train_std,test_std,mean_diff_z,median_diff,q95_diff,ks_stat,ks_pvalue,psi,psi_flag
num_perimeters_0_5h,2.063348416289593,1.9263157894736842,2.5788590872109802,2.965195645883265,-0.049314491515319435,0.0,0.0,0.057537508930697784,0.9687743472511035,0.04522034744166818,low
alignment_cos,-0.004970953582059182,-0.017654301374827697,0.3719091189584902,0.31042216749738755,-0.03702647931210924,0.0,-0.3289247410842937,0.04691593236484878,0.9966202934067006,0.03385157249997206,low
alignment_abs,0.17270375413634423,0.12801177352149384,0.32920974070804493,0.28304693606797254,-0.14557778874883112,0.0,-0.08457725851672804,0.07277923315075017,0.8414433827576598,0.03242718066977954,low
dt_first_last_0_5h,0.9798688250791856,0.8323154231871344,1.73805166580797,1.650526374351209,-0.08705964782394263,0.0,-0.2506242940000005,0.06096689688020957,0.9493003100967233,0.027058646800378,low
spread_bearing_deg,13.771909812822395,9.848684437670554,46.70330923966909,41.3225225907153,-0.08897197785970251,0.0,-7.633419207123595,0.04996427720885925,0.9925681785955116,0.022261748494857948,low
closing_speed_m_per_h,2.0214030294905334,0.696823540737431,26.86518449474293,9.026611467307195,-0.0660961779954363,0.0,0.0,0.024196237199333174,0.9999999999255029,0.0191193650980012,low
projected_advance_m,10.286955177358763,3.0470231100704877,128.65267789843153,38.78205730910134,-0.07619807742398547,0.0,0.0,0.024196237199333174,0.9999999999255029,0.0191193650980012,low
spread_bearing_cos,0.8904363168920938,0.9191954140707896,0.35190436113416396,0.31460730573079826,0.08616255791447394,0.0,0.0,0.04996427720885925,0.9925681785955116,0.017998833067938168,low
along_track_speed,0.5516896995404449,0.765020598783951,46.7606478837869,9.145756138329595,0.0063319344583884565,-0.0,-0.0005441823867581,0.03472255298880686,0.9999851406890649,0.017724986322111804,low
cross_track_component,1.6171880723761085,-0.8694472639864479,37.78919869398154,17.83588382780048,-0.0841564260113485,0.0,0.0,0.030292926887354132,0.9999996324196276,0.017392498837101193,low
dist_slope_ci_0_5h,-3.030932042044952,-0.7691256122957487,41.51119824964585,11.09209876240274,0.07444394584864443,0.0,-1.3985635361613625e-12,0.06039533222195761,0.9531956614207056,0.014818458434221212,low
centroid_displacement_m,44.277876233591705,19.11409248628751,218.7596278167303,85.03775817796168,-0.15162318399513272,0.0,-58.15961346338993,0.03943796141938557,0.9997821832762012,0.011506604273374136,low
centroid_speed_m_per_h,11.953521764288569,4.436064416579202,58.94046564896595,19.5762880883954,-0.17117855424829845,0.0,-23.757653633609138,0.03943796141938557,0.9997821832762012,0.011506604273374136,low
log1p_growth,0.38934649588111053,0.23473698530754494,1.34034798860394,0.9139496725145677,-0.13477884521531922,0.0,-0.8378426315532668,0.03619909502262444,0.9999613997367122,0.011506604273374136,low
event_start_month,6.782805429864253,6.8,1.571875921302437,1.6922853740531,0.010528207255608931,0.0,0.0,0.02800666825434627,0.9999999710229689,0.011408766554090531,low
spread_bearing_sin,0.053662484737422876,0.02400427225116591,0.2851932738803988,0.2391014094738414,-0.11270099085931257,0.0,-0.7697144227921089,0.043867587520838296,0.9986960724825746,0.001588637317113312,low
dist_change_ci_0_5h,-10.286955177358763,-3.0470231100704877,128.65267789843153,38.78205730910134,0.07619807742398547,0.0,0.0,0.024196237199333174,0.9999999999255029,0.0006529454366315857,low
dist_accel_m_per_h2,-0.9679226303390362,-1.7451251445504006,11.088140975274916,9.640485884340103,-0.07480611790277543,0.0,-2.886797445730118e-12,0.06639676113360324,0.9074456112477911,0.00010046789054111634,low
low_temporal_resolution_0_5h,0.7285067873303167,0.7789473684210526,0.4457394634446267,0.4171572326772198,0.11684581265686277,0.0,0.0,0.05044058109073589,0.9916260607045896,,
dist_fit_r2_0_5h,0.0459995706986454,0.027770105470769864,0.17168953300917658,0.13214041486116912,-0.11899394284599998,0.0,-0.5295660888415268,0.043867587520838296,0.9986960724825746,,
dist_std_ci_0_5h,8.079022396488362,3.02994857651229,63.18435219398401,16.050697731964195,-0.10953124231510042,0.0,-12.821259301942163,0.028816384853536558,0.999999925506769,,
closing_speed_abs_m_per_h,3.6611347332616178,1.6401971306325172,26.69040926630911,8.902335475630531,-0.10157969654864031,0.0,-6.69081926228146,0.028816384853536558,0.999999925506769,,
