feature,target,spearman_corr,abs_spearman_corr
dist_std_normalized,y_48,0.2285472128444269,0.2285472128444269
dist_std_normalized,event,0.21674655119117076,0.21674655119117076
dist_std_normalized,y_72,0.21674655119117076,0.21674655119117076
is_night,event,-0.19927536231884055,0.19927536231884055
is_night,y_72,-0.19927536231884055,0.19927536231884055
is_night,y_48,-0.15774946535242254,0.15774946535242254
hour_cos,y_72,-0.14881584871892944,0.14881584871892944
hour_cos,event,-0.14881584871892944,0.14881584871892944
is_night,y_24,-0.1369217864828326,0.1369217864828326
is_weekend,y_24,-0.13184347381094141,0.13184347381094141
is_weekend,y_72,-0.11965392949164914,0.11965392949164914
is_weekend,event,-0.11965392949164914,0.11965392949164914
hour_cos,y_24,-0.11178383131350998,0.11178383131350998
hour_cos,y_48,-0.11112216950037156,0.11112216950037156
is_night,y_12,-0.11051136539229155,0.11051136539229155
is_weekend,y_48,-0.1032534120831125,0.1032534120831125
hour_sin,y_72,-0.09986918278123601,0.09986918278123601
hour_sin,event,-0.09986918278123601,0.09986918278123601
is_weekend,time_to_hit_hours,0.08449478350054201,0.08449478350054201
is_weekend,y_12,-0.07587545970684056,0.07587545970684056
hour_sin,y_48,-0.07153957880944686,0.07153957880944686
is_night,time_to_hit_hours,0.06612112023656984,0.06612112023656984
hour_cos,y_12,-0.06528853878658775,0.06528853878658775
hour_sin,y_24,-0.057609316987741944,0.057609316987741944
closing_to_centroid_ratio,y_72,0.05259766711117132,0.05259766711117132
closing_to_centroid_ratio,event,0.05259766711117132,0.05259766711117132
closing_to_centroid_ratio,y_48,0.052276605892946,0.052276605892946
speed_alignment,y_72,0.05227498203686966,0.05227498203686966
approach_rate,event,0.05227498203686966,0.05227498203686966
speed_alignment,event,0.05227498203686966,0.05227498203686966
approach_rate,y_72,0.05227498203686966,0.05227498203686966
closing_to_centroid_ratio,y_24,0.05200271895525454,0.05200271895525454
speed_alignment,y_48,0.05194987710611509,0.05194987710611509
approach_rate,y_48,0.05194987710611509,0.05194987710611509
speed_alignment,y_24,0.0516714914459854,0.0516714914459854
approach_rate,y_24,0.0516714914459854,0.0516714914459854
closing_to_centroid_ratio,y_12,0.05147531240583639,0.05147531240583639
approach_rate,y_12,0.05111534518621514,0.05111534518621514
speed_alignment,y_12,0.05111534518621514,0.05111534518621514
hour_cos,time_to_hit_hours,0.04305369562895597,0.04305369562895597
hour_sin,time_to_hit_hours,0.0303312978663295,0.0303312978663295
hour_sin,y_12,-0.028559503588515403,0.028559503588515403
speed_alignment,time_to_hit_hours,0.017461920695204157,0.017461920695204157
approach_rate,time_to_hit_hours,0.017461920695204157,0.017461920695204157
closing_to_centroid_ratio,time_to_hit_hours,0.017368165416303732,0.017368165416303732
